"word","pron","lemme","len","phlen","voisorth","voisphon","syll","nbsyll","Moy_Consistance_GP","Min_Consistance_GP","Nb_Irregular_GP","Pos_Irregular_GP","Moy_Consistance_PG","Min_Consistance_PG","Nb_Irregular_PG","Pos_Irregular_PG","Decom_GP","freq"
"mise","miz","mise",4,3,17,20,"miz",1,"0.81","0.51","0","0","0.83","0.4","0","0","m-m.i-i.s-z.e-#",43.04
"toit","twa","toit",4,3,7,15,"twa",1,"0.94","0.82","0","0","0.65","0.01","1","3","t-t.oi-wa.t-#",91.76
"pâte","pat","pâte",4,3,11,35,"pat",1,"0.98","0.93","0","0","0.58","0.03","1","2","p-p.â-a.t-t.e-#",24.73
"joli","Zoli","joli",4,4,3,8,"Zo-li",2,"0.91","0.7","0","0","0.7","0.44","0","0","j-Z.o-o.l-l.i-i",120
"bleu","bl2","bleu",4,3,2,9,"bl2",1,"0.99","0.96","0","0","0.93","0.88","0","0","b-b.l-l.eu-2",263.86
"moto","moto","moto",4,4,10,15,"mo-to",2,"0.91","0.7","0","0","0.88","0.73","0","0","m-m.o-o.t-t.o-o",19.26
"prix","pRi","prix",4,3,8,19,"pRi",1,"0.92","0.75","0","0","0.73","0.02","1","4","p-p.r-R.i-i.x-#",107.5
"sexe","sEks","sexe",4,4,2,6,"sEks",1,"0.78","0.38","1","2","0.69","0.4","0","0","s-s.e-E.x-ks.e-#",52.7
"nier","nje","nier",4,3,8,17,"nje",1,"0.75","0.24","1","2","0.72","0.32","1","3","n-n.i-j.er-e",23.58
"pépé","pepe","pépé",4,4,4,14,"pe-pe",2,"1","0.99","0","0","0.8","0.42","0","0","p-p.é-e.p-p.é-e",16.96
"huit","yit","huit",4,3,8,12,"8it",1,"0.73","0.18","1","3","0.97","0.91","0","0","h-#.ui-8i.t-t",102.5
"soin","sw5","soin",4,3,12,10,"sw5",1,"1","1","0","0","0.93","0.87","0","0","s-s.oin-w5",68.24
"rock","ROk","rock",4,3,4,21,"ROk",1,"0.77","0.3","1","2","0.71","0.16","1","3","r-R.o-O.ck-k",19.93
"vice","vis","vice",4,3,9,22,"vis",1,"0.77","0.35","1","3","0.64","0.21","1","3","v-v.i-i.c-s.e-#",18.45
"cour","kuR","cour",4,3,10,24,"kuR",1,"0.94","0.91","0","0","0.96","0.93","0","0","c-k.ou-u.r-R",150.14
"clan","kl@","clan",4,3,10,14,"kl@",1,"0.97","0.91","0","0","0.62","0.03","1","3","c-k.l-l.an-@",16.42
"flot","flo","flot",4,3,8,13,"flo",1,"0.88","0.7","0","0","0.69","0.01","1","4","f-f.l-l.o-o.t-#",45.95
"aile","El","aile",4,2,13,16,"El",1,"0.86","0.59","0","0","0.46","0.06","1","1","ai-E.l-l.e-#",60.47
"tous","tus","tous",4,3,17,18,"tus",1,"0.65","0.03","1","3","0.93","0.87","0","0","t-t.ou-u.s-s",238.72
"nord","nOR","nord",4,3,6,19,"nOR",1,"0.79","0.3","1","2","0.74","0.01","1","4","n-n.o-O.r-R.d-#",84.19
"vert","vER","vert",4,3,4,22,"vER",1,"0.8","0.38","1","2","0.65","0.01","1","4","v-v.e-E.r-R.t-#",179.8
"race","Ras","race",4,3,16,33,"Ras",1,"0.83","0.35","1","3","0.64","0.21","1","3","r-R.a-a.c-s.e-#",34.93
"tels","tEl","tels",4,3,4,21,"tEl",1,"0.84","0.38","1","2","0.67","0.18","1","4","t-t.e-E.l-l.s-#",35.41
"zèle","zEl","zèle",4,3,4,13,"zEl",1,"1","1","0","0","0.62","0.16","1","2","z-z.è-E.l-l.e-#",10.68
"lors","lOR","lors",4,3,12,25,"lOR",1,"0.82","0.3","1","2","0.78","0.18","1","4","l-l.o-O.r-R.s-#",70.27
"baie","bE","baie",4,2,16,29,"bE",1,"0.97","0.9","0","0","0.52","0.15","1","2","b-b.ai-E.e-#",20.88
"sens","s@s","sens",4,3,13,13,"s@s",1,"0.96","0.9","0","0","0.48","0.18","2","2","s-s.en-@.s-#",217.5
"poli","poli","poli",4,4,6,11,"po-li",2,"0.92","0.7","0","0","0.81","0.44","0","0","p-p.o-o.l-l.i-i",18.92
"gros","gRo","gros",4,3,6,15,"gRo",1,"0.87","0.7","0","0","0.73","0.18","1","4","g-g.r-R.o-o.s-#",390.14
"tant","t@","tant",4,2,8,27,"t@",1,"1","1","0","0","0.8","0.64","0","0","t-t.ant-@",436.42
"bruit","bRyi","bruit",5,4,2,3,"bR8i",1,"0.95","0.82","0","0","0.75","0.01","1","4","b-b.r-R.ui-8i.t-#",281.49
"hôtel","otEl","hôtel",5,4,1,8,"o-tEl",2,"0.86","0.38","1","4","0.7","0.02","1","2","h-#.ô-o.t-t.e-E.l-l",158.92
"bague","bag","bague",5,3,9,26,"bag",1,"0.99","0.95","0","0","0.64","0.21","1","3","b-b.a-a.gu-g.e-#",22.36
"bénir","beniR","bénir",5,5,5,7,"be-niR",2,"0.95","0.75","0","0","0.93","0.76","0","0","b-b.é-e.n-n.i-i.r-R",18.92
"chair","SER","chair",5,3,4,24,"SER",1,"0.94","0.9","0","0","0.69","0.15","1","2","ch-S.ai-E.r-R",106.49
"salon","sal&","salon",5,4,10,21,"sa-l§",2,"1","0.99","0","0","0.77","0.35","1","4","s-s.a-a.l-l.on-§",101.22
"natal","natal","natal",5,5,4,5,"na-tal",2,"0.98","0.93","0","0","0.97","0.91","0","0","n-n.a-a.t-t.a-a.l-l",13.92
"boeuf","b9f","boeuf",5,3,0,12,"b9f",1,"0.98","0.95","0","0","0.66","0.02","1","2","b-b.oeu-9.f-f",22.77
"table","tabl","table",5,4,9,9,"tabl",1,"0.99","0.96","0","0","0.85","0.4","0","0","t-t.a-a.b-b.l-l.e-#",379.8
"brume","bRym","brume",5,4,9,13,"bRym",1,"0.98","0.89","0","0","0.85","0.4","0","0","b-b.r-R.u-y.m-m.e-#",42.57
"ronce","R&s","ronce",5,3,7,14,"R§s",1,"0.84","0.35","1","3","0.6","0.21","1","3","r-R.on-§.c-s.e-#",13.78
"arabe","aRab","arabe",5,4,1,4,"a-Rab",2,"0.99","0.96","0","0","0.87","0.4","0","0","a-a.r-R.a-a.b-b.e-#",57.91
"début","deby","début",5,4,3,5,"de-by",2,"0.93","0.82","0","0","0.78","0.01","1","5","d-d.é-e.b-b.u-y.t-#",141.49
"gamin","gam5","gamin",5,4,1,4,"ga-m5",2,"0.95","0.81","0","0","0.79","0.37","1","4","g-g.a-a.m-m.in-5",44.86
"veine","vEn","veine",5,3,6,20,"vEn",1,"0.96","0.84","0","0","0.55","0.03","1","2","v-v.ei-E.n-n.e-#",35.41
"jouir","ZwiR","jouir",5,4,4,4,"ZwiR",1,"0.7","0.08","1","2","0.86","0.58","0","0","j-Z.ou-w.i-i.r-R",39.19
"passe","pas","passe",5,3,17,31,"pas",1,"1","0.99","0","0","0.66","0.27","1","3","p-p.a-a.ss-s.e-#",21.35
"moins","mw5","moins",5,3,6,9,"mw5",1,"0.99","0.97","0","0","0.73","0.18","1","3","m-m.oin-w5.s-#",735.21
"mauve","mov","mauve",5,3,3,9,"mov",1,"1","1","0","0","0.62","0.09","1","2","m-m.au-o.v-v.e-#",22.23
"sauce","sos","sauce",5,3,4,16,"sos",1,"0.83","0.35","1","3","0.39","0.09","2","2","s-s.au-o.c-s.e-#",13.72
"jeter","Z°te","jeter",5,4,2,8,"Z°-te",2,"0.86","0.53","0","0","0.7","0.32","1","4","j-Z.e-°.t-t.er-e",338.44
"leurs","l9R","leurs",5,3,3,12,"l9R",1,"0.88","0.57","0","0","0.76","0.18","1","4","l-l.eu-9.r-R.s-#",896.08
"farce","faRs","farce",5,4,6,9,"faRs",1,"0.87","0.35","1","4","0.7","0.21","1","4","f-f.a-a.r-R.c-s.e-#",12.5
"balai","balE","balai",5,4,2,26,"ba-lE",2,"1","0.99","0","0","0.76","0.15","1","4","b-b.a-a.l-l.ai-E",17.7
"sapin","sap5","sapin",5,4,8,10,"sa-p5",2,"0.99","0.99","0","0","0.77","0.37","1","4","s-s.a-a.p-p.in-5",26.28
"mèche","mES","mèche",5,3,8,21,"mES",1,"0.98","0.93","0","0","0.64","0.16","1","2","m-m.è-E.ch-S.e-#",31.01
"comme","kOm","comme",5,3,9,19,"kOm",1,"0.8","0.3","1","2","0.6","0.08","1","3","c-k.o-O.mm-m.e-#",365.68
"lycée","lise","lycée",5,4,1,22,"li-se",2,"0.82","0.35","1","3","0.51","0.04","2","2","l-l.y-i.c-s.é-e.e-#",38.78
"voile","vwal","voile",5,4,6,4,"vwal",1,"1","1","0","0","0.82","0.4","0","0","v-v.oi-wa.l-l.e-#",48.31
"brisé","bRize","brisé",5,5,10,19,"bRi-ze",2,"0.85","0.51","0","0","0.86","0.42","0","0","b-b.r-R.i-i.s-z.é-e",16.42
"charge","SaRZ","charge",6,4,5,9,"SaRZ",1,"0.98","0.91","0","0","0.96","0.92","0","0","ch-S.a-a.r-R.ge-Z",41.28
"désolé","dezole","désolé",6,6,3,6,"de-zo-le",3,"0.87","0.51","0","0","0.85","0.42","0","0","d-d.é-e.s-z.o-o.l-l.é-e",12.43
"vapeur","vap9R","vapeur",6,5,3,8,"va-p9R",2,"0.91","0.57","0","0","0.94","0.87","0","0","v-v.a-a.p-p.eu-9.r-R",26.76
"occupé","okype","occupé",6,5,2,4,"o-ky-pe",3,"0.85","0.57","0","0","0.6","0.05","1","2","o-o.cc-k.u-y.p-p.é-e",11.42
"façade","fasad","façade",6,5,0,2,"fa-sad",2,"1","0.99","0","0","0.72","0.02","1","3","f-f.a-a.ç-s.a-a.d-d.e-#",46.76
"frange","fR@Z","frange",6,4,3,5,"fR@Z",1,"1","1","0","0","0.85","0.51","0","0","f-f.r-R.an-@.ge-Z",13.45
"habile","abil","habile",6,4,2,9,"a-bil",2,"0.95","0.75","0","0","0.87","0.4","0","0","h-#.a-a.b-b.i-i.l-l.e-#",17.16
"voisin","vwaz5","voisin",6,5,0,0,"vwa-z5",2,"0.88","0.51","0","0","0.82","0.37","1","4","v-v.oi-wa.s-z.in-5",131.55
"prénom","pRen&","prénom",6,5,2,3,"pRe-n§",2,"1","1","0","0","0.73","0","1","5","p-p.r-R.é-e.n-n.om-§",30.47
"pâleur","pal9R","pâleur",6,5,1,9,"pa-l9R",2,"0.91","0.57","0","0","0.76","0.03","1","2","p-p.â-a.l-l.eu-9.r-R",10.41
"whisky","wiski","whisky",6,5,0,0,"wis-ki",2,"0.83","0.49","1","3","0.3","0.02","3","1","wh-w.i-i.s-s.k-k.y-i",25.47
"sienne","sjEn","sienne",6,4,3,7,"sjEn",1,"0.72","0.24","2","2","0.59","0.24","1","4","s-s.i-j.e-E.nn-n.e-#",42.57
"louche","luS","louche",6,3,8,18,"luS",1,"0.96","0.92","0","0","0.83","0.4","0","0","l-l.ou-u.ch-S.e-#",13.17
"tarder","taRde","tarder",6,5,9,13,"taR-de",2,"1","0.99","0","0","0.85","0.32","1","5","t-t.a-a.r-R.d-d.er-e",34.46
"accusé","akyze","accusé",6,5,3,7,"a-ky-ze",3,"0.84","0.51","0","0","0.68","0.05","1","2","a-a.cc-k.u-y.s-z.é-e",13.85
"fraise","fREz","fraise",6,4,1,10,"fREz",1,"0.88","0.51","0","0","0.68","0.15","1","3","f-f.r-R.ai-E.s-z.e-#",10.07
"vaincu","v5ky","vaincu",6,4,1,6,"v5-ky",2,"0.91","0.64","0","0","0.58","0.09","1","2","v-v.ain-5.c-k.u-y",15.6
"chacun","Sak5","chacun",6,4,0,1,"Sa-k1",2,"0.89","0.64","0","0","0.86","0.6","0","0","ch-S.a-a.c-k.un-1",187.84
"tacher","taSe","tacher",6,4,8,21,"ta-Se",2,"0.98","0.93","0","0","0.81","0.32","1","4","t-t.a-a.ch-S.er-e",16.49
"lucide","lysid","lucide",6,5,1,1,"ly-sid",2,"0.83","0.35","1","3","0.76","0.21","1","3","l-l.u-y.c-s.i-i.d-d.e-#",12.43
"montre","m&tR","montre",6,4,4,8,"m§tR",1,"0.99","0.93","0","0","0.82","0.4","0","0","m-m.on-§.t-t.r-R.e-#",47.84
"saleté","sal°te","saleté",6,6,1,1,"sa-l°-te",3,"0.91","0.53","0","0","0.85","0.42","0","0","s-s.a-a.l-l.e-°.t-t.é-e",12.91
"fondre","f&dR","fondre",6,4,7,12,"f§dR",1,"1","1","0","0","0.82","0.4","0","0","f-f.on-§.d-d.r-R.e-#",38.18
"anneau","ano","anneau",6,3,1,12,"a-no",2,"1","1","0","0","0.48","0.22","2","2","a-a.nn-n.eau-o",17.5
"comble","k&bl","comble",6,4,2,4,"k§bl",1,"0.97","0.91","0","0","0.69","0.19","1","2","c-k.om-§.b-b.l-l.e-#",30.34
"étirer","etiRe","étirer",6,5,1,6,"e-ti-Re",3,"0.93","0.75","0","0","0.81","0.32","1","5","é-e.t-t.i-i.r-R.er-e",40.27
"amuser","amyze","amuser",6,5,3,6,"a-my-ze",3,"0.88","0.51","0","0","0.84","0.32","1","5","a-a.m-m.u-y.s-z.er-e",120.95
"refuge","R°fyZ","refuge",6,5,1,1,"R°-fyZ",2,"0.88","0.53","0","0","0.92","0.62","0","0","r-R.e-°.f-f.u-y.ge-Z",18.65
"exquis","Ekski","exquis",6,5,1,2,"Ek-ski",2,"0.85","0.74","0","0","0.65","0.18","2","3","e-E.x-ks.qu-k.i-i.s-#",17.36
"debout","d°bu","debout",6,4,0,1,"d°-bu",2,"0.85","0.53","0","0","0.79","0.01","1","5","d-d.e-°.b-b.ou-u.t-#",158.85
"travers","tRavER","travers",7,6,0,5,"tRa-vER",2,"0.91","0.38","1","5","0.81","0.18","1","7","t-t.r-R.a-a.v-v.e-E.r-R.s-#",247.64
"artiste","aRtist","artiste",7,6,1,1,"aR-tist",2,"0.87","0.49","1","5","0.79","0.38","0","0","a-a.r-R.t-t.i-i.s-s.t-t.e-#",53.04
"coutume","kutym","coutume",7,5,2,2,"ku-tym",2,"0.94","0.89","0","0","0.85","0.4","0","0","c-k.ou-u.t-t.u-y.m-m.e-#",25.14
"rocheux","RoS2","rocheux",7,4,0,4,"Ro-S2",2,"0.8","0.43","1","4","0.75","0.02","1","5","r-R.o-o.ch-S.eu-2.x-#",10
"monnaie","monE","monnaie",7,4,1,15,"mo-nE",2,"0.92","0.7","0","0","0.53","0.15","2","3","m-m.o-o.nn-n.ai-E.e-#",28.99
"commode","komOd","commode",7,5,0,2,"ko-mOd",2,"0.82","0.3","1","4","0.71","0.08","1","3","c-k.o-o.mm-m.o-O.d-d.e-#",29.25
"aborder","abORde","aborder",7,6,3,5,"a-bOR-de",3,"0.88","0.3","1","3","0.88","0.32","1","6","a-a.b-b.o-O.r-R.d-d.er-e",33.18
"deviner","d°vine","deviner",7,6,3,6,"d°-vi-ne",3,"0.88","0.53","0","0","0.84","0.32","1","6","d-d.e-°.v-v.i-i.n-n.er-e",112.3
"aplatir","aplatiR","aplatir",7,7,4,2,"a-pla-tiR",3,"0.95","0.75","0","0","0.94","0.87","0","0","a-a.p-p.l-l.a-a.t-t.i-i.r-R",14.53
"acheter","aS°te","acheter",7,5,2,6,"a-S°-te",3,"0.88","0.53","0","0","0.84","0.32","1","5","a-a.ch-S.e-°.t-t.er-e",148.38
"visiter","vizite","visiter",7,6,2,4,"vi-zi-te",3,"0.82","0.51","0","0","0.85","0.32","1","6","v-v.i-i.s-z.i-i.t-t.er-e",52.16
"plaider","plede","plaider",7,5,2,1,"ple-de",2,"0.82","0.09","1","3","0.65","0.01","2","3","p-p.l-l.ai-e.d-d.er-e",12.7
