word,ortho,phono,freq,len,pron,phlen,gpmatch,cons,cons-min,occ,occ-min
0,0,fo,8.51,1,fo,2,0-fo,1.0,1.0,1,1
a,a,a,19209.05,1,a,1,a-a,1.0,1.0,874,874
abaisser,a-bai-sser,a-be-se,18.04,8,abese,5,a-a.bai-be.sser-se,1.0 1.0 0.93913,0.93913,874 13 115,13
abandon,a-ban-don,a-b@-d&,27.36,7,ab@d&,5,a-a.ban-b@.don-d&,1.0 1.0 1.0,1.0,874 32 18,18
abandonner,a-ban-do-nner,a-b@-do-ne,128.45,10,ab@done,7,a-a.ban-b@.do-do.nner-ne,1.0 1.0 0.9403 1.0,0.9403,874 32 134 86,32
abandonné,a-ban-do-nné,a-b@-do-ne,24.39,9,ab@done,7,a-a.ban-b@.do-do.nné-ne,1.0 1.0 0.9403 1.0,0.9403,874 32 134 27,27
abasourdi,a-ba-sour-di,a-ba-zuR-di,2.64,9,abazuRdi,8,a-a.ba-ba.sour-zuR.di-di,1.0 0.99593 0.18182 1.0,0.18182,874 246 11 292,11
abasourdir,a-ba-sour-dir,a-ba-zuR-diR,2.97,10,abazuRdiR,9,a-a.ba-ba.sour-zuR.dir-diR,1.0 0.99593 0.18182 1.0,0.18182,874 246 11 25,11
abat,a-bat,a-ba,1.01,4,aba,3,a-a.bat-ba,1.0 1.0,1.0,874 7,7
abatis,a-ba-tis,a-ba-ti,0.88,6,abati,5,a-a.ba-ba.tis-ti,1.0 0.99593 0.21429,0.21429,874 246 28,28
abattage,a-ba-tta-ge,a-ba-ta-Z°,1.28,8,abataZ°,7,a-a.ba-ba.tta-ta.ge-Z°,1.0 0.99593 1.0 0.97749,0.97749,874 246 11 311,11
abattement,a-ba-tte-ment,a-ba-t°-m@,2.64,10,abat°m@,7,a-a.ba-ba.tte-t°.ment-m@,1.0 0.99593 0.99149 1.0,0.99149,874 246 235 304,235
abattis,a-ba-ttis,a-ba-ti,1.08,7,abati,5,a-a.ba-ba.ttis-ti,1.0 0.99593 1.0,0.99593,874 246 1,1
abattoir,a-ba-ttoir,a-ba-twaR,4.66,8,abatwaR,7,a-a.ba-ba.ttoir-twaR,1.0 0.99593 1.0,0.99593,874 246 4,4
abattre,a-ba-ttre,a-ba-tR°,50.61,7,abatR°,6,a-a.ba-ba.ttre-tR°,1.0 0.99593 1.0,0.99593,874 246 18,18
abattu,a-ba-ttu,a-ba-ty,7.09,6,abaty,5,a-a.ba-ba.ttu-ty,1.0 0.99593 1.0,0.99593,874 246 4,4
abbaye,a-bba-ye,a-be-i,3.78,6,abei,4,a-a.bba-be.ye-i,1.0 1.0 0.125,0.125,874 1 8,1
abbé,a-bbé,a-be,33.51,4,abe,3,a-a.bbé-be,1.0 1.0,1.0,874 1,1
abcès,ab-cès,ab-se,3.31,5,abse,4,ab-ab.cès-se,0.96154 1.0,0.96154,26 5,5
abdication,ab-di-ca-tion,ab-di-ka-sj&,1.96,10,abdikasj&,9,ab-ab.di-di.ca-ka.tion-sj&,0.96154 1.0 0.99509 0.97518,0.96154,26 292 407 282,26
abdiquer,ab-di-quer,ab-di-ke,2.77,8,abdike,6,ab-ab.di-di.quer-ke,0.96154 1.0 1.0,0.96154,26 292 90,26
abdomen,ab-do-men,ab-do-men,1.55,7,abdomen,7,ab-ab.do-do.men-men,0.96154 0.9403 0.11765,0.11765,26 134 51,26
abeille,a-be-ille,a-be-j°,9.86,7,abej°,5,a-a.be-be.ille-j°,1.0 0.24719 0.89024,0.24719,874 89 82,82
aberrant,a-be-rrant,a-be-R@,2.5,8,abeR@,5,a-a.be-be.rrant-R@,1.0 0.24719 1.0,0.24719,874 89 3,3
aberration,a-be-rra-tion,a-be-Ra-sj&,4.46,10,abeRasj&,8,a-a.be-be.rra-Ra.tion-sj&,1.0 0.24719 1.0 0.97518,0.24719,874 89 23 282,23
abhorrer,a-bho-rrer,a-bo-Re,1.35,8,aboRe,5,a-a.bho-bo.rrer-Re,1.0 1.0 1.0,1.0,874 1 27,1
abject,ab-ject,ab-Zekt,3.92,6,abZekt,6,ab-ab.ject-Zekt,0.96154 1.0,0.96154,26 1,1
abjection,ab-jec-tion,ab-Zek-sj&,2.3,9,abZeksj&,8,ab-ab.jec-Zek.tion-sj&,0.96154 1.0 0.97518,0.96154,26 14 282,14
abjurer,ab-ju-rer,ab-Zy-Re,1.28,7,abZyRe,6,ab-ab.ju-Zy.rer-Re,0.96154 1.0 0.99415,0.96154,26 52 171,26
ablation,a-bla-tion,a-bla-sj&,1.35,8,ablasj&,7,a-a.bla-bla.tion-sj&,1.0 0.94118 0.97518,0.94118,874 17 282,17
ablette,a-ble-tte,a-ble-t°,0.95,7,ablet°,6,a-a.ble-ble.tte-t°,1.0 0.04839 0.99149,0.04839,874 186 235,186
ablution,a-blu-tion,a-bly-sj&,1.55,8,ablysj&,7,a-a.blu-bly.tion-sj&,1.0 0.75 0.97518,0.75,874 4 282,4
abnégation,ab-né-ga-tion,ab-ne-ga-sj&,3.58,10,abnegasj&,9,ab-ab.né-ne.ga-ga.tion-sj&,0.96154 1.0 0.97674 0.97518,0.96154,26 152 172 282,26
aboi,a-boi,a-bwa,3.58,4,abwa,4,a-a.boi-bwa,1.0 1.0,1.0,874 12,12
aboiement,a-boie-ment,a-bwa-m@,5.95,9,abwam@,6,a-a.boie-bwa.ment-m@,1.0 1.0 1.0,1.0,874 1 304,1
aboli,a-bo-li,a-bo-li,2.57,5,aboli,5,a-a.bo-bo.li-li,1.0 0.95192 1.0,0.95192,874 104 336,104
