"word","pron","cgram","grapheme","gpmatch","freq","len","phlen","genre","nombre"
"!a!","!a!","NOM","a","a-a",58.65,3,3,"m",""
"!abaissement!","!abEs°m@!","NOM","a.b.ai.ss.e.m.ent","a-a.b-b.ai-E.ss-s.e-°.m-m.ent-@",2.16,13,9,"m","s"
"!abandon!","!ab@d&!","NOM","a.b.an.d.on","a-a.b-b.an-@.d-d.on-&",25.2,9,7,"m","s"
"!abaque!","!abak!","NOM","a.b.a.qu.e","a-a.b-b.a-a.qu-k.e-#",0.07,8,6,"m","s"
"!abat!","!aba!","NOM","a.b.a.t","a-a.b-b.a-a.t-#",0.2,6,5,"m","s"
"!abatage!","!abataZ!","NOM","a.b.a.t.a.ge","a-a.b-b.a-a.t-t.a-a.ge-Z",0.07,9,8,"m","s"
"!abatis!","!abati!","NOM","a.b.a.t.i.s","a-a.b-b.a-a.t-t.i-i.s-#",0.88,8,7,"m",""
"!abattage!","!abataZ!","NOM","a.b.a.tt.a.ge","a-a.b-b.a-a.tt-t.a-a.ge-Z",1.15,10,8,"m","s"
"!abattant!","!abat@!","NOM","a.b.a.tt.ant","a-a.b-b.a-a.tt-t.ant-@",0.54,10,7,"m","s"
"!abattement!","!abat°m@!","NOM","a.b.a.tt.e.m.ent","a-a.b-b.a-a.tt-t.e-°.m-m.ent-@",2.36,12,9,"m","s"
"!abatteur!","!abat9R!","NOM","a.b.a.tt.eu.r","a-a.b-b.a-a.tt-t.eu-9.r-R",0.2,10,8,"m","s"
"!abattis!","!abati!","NOM","a.b.a.tt.i.s","a-a.b-b.a-a.tt-t.i-i.s-#",1.08,9,7,"m",""
"!abattoir!","!abatwaR!","NOM","a.b.a.tt.oi.r","a-a.b-b.a-a.tt-t.oi-wa.r-R",2.36,10,9,"m","s"
"!abattu!","!abaty!","NOM","a.b.a.tt.u","a-a.b-b.a-a.tt-t.u-y",1.22,8,7,"m","s"
"!abbé!","!abe!","NOM","a.bb.é","a-a.bb-b.é-e",31.28,6,5,"m","s"
"!abcès!","!apsE!","NOM","a.b.c.è.s","a-a.b-p.c-s.è-E.s-#",3.31,7,6,"m",""
"!abdomen!","!abdomEn!","NOM","a.b.d.o.m.e.n","a-a.b-b.d-d.o-o.m-m.e-E.n-n",1.55,9,9,"m","s"
"!ablatif!","!ablatif!","NOM","a.b.l.a.t.i.f","a-a.b-b.l-l.a-a.t-t.i-i.f-f",0.14,9,9,"m","s"
"!able!","!abl!","NOM","a.b.l.e","a-a.b-b.l-l.e-#",0.14,6,5,"m","s"
"!aboi!","!abwa!","NOM","a.b.oi","a-a.b-b.oi-wa",0.88,6,6,"m","s"
"!aboiement!","!abwam@!","NOM","a.b.oi.e.m.ent","a-a.b-b.oi-wa.e-#.m-m.ent-@",2.36,11,8,"m","s"
"!abonnement!","!abOn°m@!","NOM","a.b.o.nn.e.m.ent","a-a.b-b.o-O.nn-n.e-°.m-m.ent-@",1.55,12,9,"m","s"
"!abonné!","!abone!","NOM","a.b.o.nn.é","a-a.b-b.o-o.nn-n.é-e",0.34,8,7,"m","s"
"!abord!","!abOR!","NOM","a.b.o.r.d","a-a.b-b.o-O.r-R.d-#",7.3,7,6,"m","s"
"!abordage!","!abORdaZ!","NOM","a.b.o.r.d.a.ge","a-a.b-b.o-O.r-R.d-d.a-a.ge-Z",1.42,10,9,"m","s"
"!abornement!","!abORn°m@!","NOM","a.b.o.r.n.e.m.ent","a-a.b-b.o-O.r-R.n-n.e-°.m-m.ent-@",0.07,12,10,"m","s"
"!about!","!abu!","NOM","a.b.ou.t","a-a.b-b.ou-u.t-#",0.47,7,5,"m","s"
"!aboutissant!","!abutis@!","NOM","a.b.ou.t.i.ss.ant","a-a.b-b.ou-u.t-t.i-i.ss-s.ant-@",0.14,13,9,"m","s"
"!aboutissement!","!abutis°m@!","NOM","a.b.ou.t.i.ss.e.m.ent","a-a.b-b.ou-u.t-t.i-i.ss-s.e-°.m-m.ent-@",4.05,15,11,"m","s"
"!aboyeur!","!abwaj9R!","NOM","a.b.oy.eu.r","a-a.b-b.oy-waj.eu-9.r-R",0.34,9,9,"m","s"
"!abracadabra!","!abRakadabRa!","NOM","a.b.r.a.c.a.d.a.b.r.a","a-a.b-b.r-R.a-a.c-k.a-a.d-d.a-a.b-b.r-R.a-a",0.27,13,13,"m","s"
"!abrasif!","!abRazif!","NOM","a.b.r.a.s.i.f","a-a.b-b.r-R.a-a.s-z.i-i.f-f",0.34,9,9,"m","s"
"!abreuvage!","!abR9vaZ!","NOM","a.b.r.eu.v.a.ge","a-a.b-b.r-R.eu-9.v-v.a-a.ge-Z",0.07,11,9,"m","s"
